GOAL68 RESOLVE37 FIND58 NULL48 RESOLVE38 GOAL66 WRITE31 WRITE30 VALUE3 NEED36 IDENTIFY59 VECTOR69 FIND49 SYSTEM46 GOAL65 RESOLVE40 RESOLVE42 IDENTIFY10 VAR20 IDENTIFY9 COMPO16 VELOCITY7 SLIDING4 VECTOR27 APPLY77 DISPLACEM0 KINE29 IDENTIFY22 EQUATION28 SNode_19 SNode_18 VECTOR73 SNode_11 SNode_10 SNode_13 SNode_12 SNode_15 SNode_14 SNode_17 SNode_16 GIVEN_1 GOAL72 VECTOR70 SYSTEM18 GIVEN21 IDENTIFY39 KNOWN6 FORCE60 KNOWN8 CHOOSE62 RApp2 RApp4 DEFINE23 CHOOSE47 MAXIMIZE34 KINEMATI17 IDENTIFY43 IDENTIFY41 NEED1 WEIGHT56 TRY12 SNode_9 SNode_5 CHOOSE19 SNode_7 SNode_6 SNode_3 SNode_47 NORMAL52 NORMAL50 IDENTIFY55 APPLY32 WRITE64 WRITE63 SUM75 GOAL_2 NEWTONS45 BUGGY54 CONSTANT5 WEIGHT57 GRAV78 STRAT_90 APPLY61 SNode_4 CHOOSE35 GRAV2 TRY25 TRY26 AXIS33 NEED67 TRY76 SNode_20 SNode_21 SNode_24 SNode_25 SNode_26 EQUAL71 NEWTONS74 VECTOR44 HORIZ53 SNode_33 SNode_34 INCLINE51 SNode_92 GOAL_48 RApp1 RApp3 TRY15 TRY14 TRY11 TRY13 SNode_8 SNode_41 TRY24 SNode_27 GOAL_49 GOAL_50 SNode_42 SNode_51 SNode_52 GOAL_56 GOAL_57 GOAL_53 SNode_43 SNode_44 SNode_54 SNode_55 SNode_59 SNode_28 SNode_29 SNode_31 SNode_60 GOAL_61 GOAL_62 GOAL_66 GOAL_69 SNode_46 GOAL_72 SNode_73 SNode_70 SNode_67 GOAL_63 SNode_68 SNode_64 SNode_65 SNode_75 SNode_71 GOAL_80 SNode_74 RApp6 GOAL_79 RApp5 GOAL_81 GOAL_83 GOAL_84 SNode_86 SNode_156 GOAL_87 GOAL_98 GOAL_99 SNode_37 SNode_38 SNode_88 SNode_91 SNode_93 SNode_94 SNode_97 SNode_40 SNode_102 SNode_100 SNode_95 GOAL_103 GOAL_104 SNode_106 SNode_152 GOAL_107 GOAL_109 GOAL_108 GOAL_153 RApp7 RApp9 GOAL_127 GOAL_126 GOAL_121 GOAL_110 GOAL_111 GOAL_114 RApp10 SNode_122 SNode_123 SNode_128 SNode_154 GOAL_130 RApp8 GOAL_129 SNode_115 GOAL_113 SNode_117 SNode_116 SNode_137 SNode_136 SNode_131 SNode_155 SNode_112 SNode_120 SNode_124 SNode_125 SNode_133 GOAL_142 SNode_118 RApp11 SNode_135 SNode_134 SNode_132 GOAL_146 SNode_119 GOAL_143 RApp12 RApp13 GOAL_147 GOAL_149 GOAL_150 SNode_151
? ? false false ? ? false true false true false ? ? false false true false ? ? ? ? ? ? false false ? false true ? ? ? ? true true true true true true ? true true false true ? true ? false ? false ? ? false ? true ? false ? true false false ? ? true false true ? false false ? true false ? ? ? ? true ? false ? ? true SNode_92_1 true true ? ? true true false false false ? ? ? true true ? false false ? true true ? ? ? ? false ? ? false ? true true ? false false ? false false false false false ? false ? ? false ? ? ? false false false false false ? true ? ? false false false false true ? ? false true false ? false false ? ? true false false ? ? ? ? ? false false ? true false false false ? ? ? false false ? ? false ? ? false ? false ? false true ? ? ? false false ? ? false ? ? true ? true false ? false false ? false false false ? ? false false ? false ? ? true false false ? ? ? false false ?
true ? ? false true false ? false ? ? false ? ? ? ? ? ? true ? ? true ? ? ? ? false ? ? false true true false ? true ? ? ? ? true ? true false ? true true ? false ? ? ? ? false ? false ? true false true ? true false ? ? ? true ? true ? ? ? true true ? false ? true false true true ? ? SNode_92_1 false ? ? false ? true true ? false false ? false true ? true false ? ? true true false true ? ? ? false ? false ? ? ? true ? ? ? false ? ? ? ? ? false false true true false false ? false ? ? ? false false ? true ? ? true ? false true false true false false ? ? ? ? false ? true true ? ? false ? ? ? ? false false false true false false false false false true true ? false ? false ? true ? ? ? true ? ? true false true ? false ? false ? false true ? ? ? ? false false false ? false false false false ? ? false false ? false ? false ? ? false ? true false ?
true ? ? ? false ? ? false false true ? ? true false false false ? false true ? ? ? true ? ? false true false ? true ? ? ? true true true true true ? ? ? true ? true true ? ? true false ? true ? true ? ? false ? false ? false false true ? true ? ? true true ? false ? true ? true ? true ? ? true false ? SNode_92_1 true ? false false ? ? true true ? ? false ? true ? false ? false ? ? ? true ? false false true ? ? true false true ? true true ? false ? false false ? false ? ? ? ? true ? ? ? false false false true false ? false true true false false ? false true true false ? false false false false false ? true ? false false false ? false ? false ? false ? false ? true ? false ? ? ? ? false ? false ? false false false ? ? ? ? ? ? ? true ? ? ? false ? true true true true ? false false false false ? ? ? ? true false ? false ? ? ? false ? ? ? false true ? ? false
false ? ? ? ? false ? ? false false ? true false true false true ? ? ? false true ? true ? ? true ? true false ? true ? true true true true true ? true true ? ? false false ? true ? true false ? ? false true false ? false ? ? false true ? true true ? true true true ? ? false ? ? false true ? ? ? true ? ? false SNode_91_2 false true false ? true ? ? ? false false ? false true true true false ? ? true ? false ? ? true ? true ? true true true ? true true ? true true ? ? false false ? true true ? ? false ? ? ? ? true true false ? false ? ? ? ? false ? ? ? ? false ? false ? ? false ? true false ? ? ? false false false ? false ? ? true false ? ? false false false ? false ? false false ? ? ? false ? false false ? true true false ? false ? ? ? ? ? false ? false ? ? false false false ? false ? false false false ? false ? false ? ? ? ? false false ? ? ? ?
true ? ? ? true false false false ? true false ? ? ? false false ? ? ? false ? false ? ? true ? ? true false true true ? ? ? ? ? true true true true true ? true ? true false false true false false true false ? true ? false ? true ? true false ? ? ? ? ? true false false false ? ? ? ? false true ? false true false false ? false ? ? true true ? ? false ? ? ? false ? ? false true true true ? ? ? ? ? false ? false false false ? ? ? ? true ? false false false false ? ? false ? false false ? true false ? false false ? ? ? false ? false false ? ? ? ? ? ? false ? ? false false false false ? true true ? true true false ? false false ? true ? ? true ? ? ? false ? ? ? false ? false false true ? ? false false ? ? false ? false false false false ? false ? ? ? ? ? true ? false ? ? true ? false false false ? ? ? false true false true ? false false ? ? ? ? true
true false ? ? ? false false ? ? ? false ? true ? true true false ? ? ? ? false true ? false true false ? ? ? true true true ? ? true ? ? ? true ? ? true ? ? false ? true ? ? ? ? true true ? true ? ? ? true ? ? true ? ? true ? ? ? ? ? ? true ? false true false ? true ? false SNode_92_1 ? ? ? true true true ? false false true ? ? true true true ? false ? ? ? false true ? true ? ? ? ? ? true ? true true ? ? true ? ? ? ? false ? ? ? false false ? ? ? ? ? false true false ? false false false true true ? true ? false ? false false false true true true true ? ? false ? true ? ? true true true false ? false ? ? ? ? ? false false false ? false ? ? false ? ? ? false false ? ? false false false false ? false ? ? ? ? ? false false ? ? false ? false false true ? false false ? ? ? false false true ? ? ? true false ? false
? ? false false ? ? false ? ? true false true true false ? ? true ? ? true true ? ? true false ? true true ? true ? false ? ? ? ? true ? true ? ? ? ? ? ? ? ? true ? true true true true false true ? true false ? ? ? true true true true true true true ? ? false ? false true false ? true false false ? true SNode_92_1 ? ? ? ? ? ? ? false ? ? true ? ? ? true true true ? true ? true ? true ? ? ? true true true ? false true ? ? true ? ? ? ? ? true false ? ? ? false true ? ? ? false ? false false false ? false false false false ? ? true ? ? false ? ? false false ? true ? ? false ? true false ? ? ? ? true ? ? false false false false false false true ? false ? ? false ? ? false ? ? false true ? false false ? ? true false true ? ? false ? false ? ? false false true ? true ? true ? false true false true false ? false ? true ? true ? false false
true ? false true true ? ? ? ? false false ? true true ? false ? false ? false ? false ? true false false false ? false ? ? true true true true true true ? true ? ? true ? ? ? false true true ? ? true false false false true false ? ? ? true true ? ? false true ? ? ? ? false true ? ? ? ? true ? false ? true true SNode_91_2 ? true ? true ? ? true ? ? ? ? ? ? true false false false true ? ? ? ? ? ? false true ? ? ? ? ? ? ? ? ? ? ? ? ? false ? ? ? false false ? true false true ? false false false ? false true false ? ? ? ? ? ? ? true false ? false ? false ? true false false false false false false ? true false false false false true false ? false ? false false ? ? ? true ? false false ? ? ? ? false true false ? false false ? false true ? false ? false false true ? ? ? ? false false false ? false ? false ? ? ? false false ? false ? ? true ? ? false
? true ? false true ? ? true false ? false false true true false true ? true ? false ? ? true true true ? ? false ? ? ? ? ? ? ? true ? true ? true true true true ? ? ? true true true true true true true ? ? false false ? ? false true ? true false ? true true ? ? true false false ? ? ? ? false ? ? ? ? SNode_91_2 ? true ? true ? ? ? ? ? ? false ? true true ? false ? false ? true ? false false false false true true ? ? true ? ? ? false ? ? false ? ? ? true ? true ? true true ? ? ? ? ? ? true ? false true true ? ? false ? false ? false ? ? false ? ? ? false ? false ? ? ? ? ? false ? ? false false false ? ? false ? ? ? false true ? ? ? ? false ? false false false ? ? true false ? true ? false ? false ? false ? false ? false ? false false false ? false false true false false ? false false false ? ? ? false false true ? ? ? ?
false ? false true ? ? true true false true true ? false false false ? ? ? false true ? false ? ? ? ? false ? ? true ? ? ? true ? ? true ? true true ? ? ? ? true false false ? false ? true ? false false true false ? ? false false false ? ? false false ? true ? false true ? ? false ? ? ? true true true false false SNode_91_2 false ? ? true true true ? true ? ? false ? ? true true ? false false ? ? ? false ? ? ? false false ? false true ? true false false ? ? ? true ? ? ? false ? ? false false ? ? ? true false false false ? ? false false false ? ? true true ? false ? ? ? false false false false ? ? ? false false false ? ? ? ? false ? ? ? ? ? ? false false false ? false ? false false true false false false true ? false false ? ? false false false false ? ? false ? false ? ? ? ? false ? ? false false ? false true true false false false false false false ? false false false ? ? false
